value,trat
3.61,DC
3.61,WCt
3.6,WCc
3.6,WCc
3.6,WCc
3.6,WCc
3.6,WCc
3.6,WCc
3.6,WCt
3.59,DC
3.59,DC
3.59,WCt
3.59,WCt
3.58,DC
3.58,DC
3.58,WCc
3.58,WCt
3.58,WCt
3.57,DC
3.57,DC
3.57,DC
3.55,DC
3.54,WCc
3.54,WCc
3.54,WCc
3.54,WCc
3.54,WCt
3.54,WCt
3.52,DC
3.5,DC
3.5,WCt
3.49,WCt
3.48,WCc
3.48,WCc
3.48,WCc
3.48,WCc
3.48,WCc
3.48,WCc
3.47,DC
3.47,WCt
3.47,WCt
3.46,DC
3.45,DC
3.44,WCt
3.43,DC
3.43,DC
3.43,DC
3.43,WCt
3.42,DC
3.42,WCc
3.42,WCc
3.42,WCc
3.42,WCc
3.41,DC
3.41,WCt
3.41,WCt
3.4,DC
3.4,DC
3.38,DC
3.38,DC
3.38,WCt
3.38,WCt
3.37,DC
3.36,DC
3.36,DC
3.36,DC
3.36,WCc
3.36,WCc
3.36,WCc
3.36,WCc
3.36,WCt
3.36,WCt
3.35,DC
3.35,DC
3.34,WCt
3.33,DC
3.33,WCc
3.32,DC
3.32,DC
3.32,DC
3.32,WCt
3.32,WCt
3.31,DC
3.31,WCc
3.31,WCc
3.31,WCc
3.31,WCc
3.31,WCc
3.31,WCc
3.31,WCc
3.31,WCc
3.31,WCc
3.31,WCt
3.31,WCt
3.31,WCt
3.3,DC
3.3,DC
3.29,WCt
3.29,WCt
3.29,WCt
3.28,WCt
3.27,WCt
3.27,WCt
3.27,WCt
3.26,DC
3.26,DC
3.26,WCc
3.25,DC
3.25,WCc
3.25,WCc
3.25,WCc
3.25,WCc
3.25,WCt
3.24,DC
3.24,WCt
3.23,DC
3.23,WCt
3.23,WCt
3.22,DC
3.22,DC
3.22,WCc
3.21,DC
3.21,DC
3.21,DC
3.21,DC
3.21,WCt
3.2,DC
3.2,WCt
3.19,DC
3.19,DC
3.19,WCc
3.19,WCc
3.19,WCc
3.19,WCc
3.19,WCc
3.19,WCc
3.19,WCc
3.18,DC
3.18,WCt
3.17,DC
3.17,DC
3.17,DC
3.17,WCt
3.16,DC
3.16,WCc
3.16,WCt
3.15,DC
3.15,WCt
3.15,WCt
3.14,DC
3.14,DC
3.14,WCt
3.13,DC
3.13,DC
3.13,WCc
3.13,WCc
3.13,WCc
3.13,WCc
3.13,WCc
3.13,WCc
3.13,WCc
3.13,WCt
3.13,WCt
3.13,WCt
3.12,DC
3.12,DC
3.11,DC
3.11,DC
3.1,DC
3.1,DC
3.1,DC
3.09,WCt
3.09,WCt
3.07,DC
3.07,WCc
3.07,WCc
3.07,WCc
3.07,WCc
3.07,WCc
3.07,WCc
3.07,WCc
3.07,WCc
3.07,WCt
3.06,DC
3.06,WCt
3.06,WCt
3.05,DC
3.05,DC
3.05,WCt
3.05,WCt
3.05,WCt
3.04,DC
3.04,DC
3.03,WCc
3.03,WCt
3.03,WCt
3.03,WCt
3.03,WCt
3.02,DC
3.02,DC
3.02,WCc
3.02,WCc
3.02,WCc
3.02,WCc
3.02,WCc
3.02,WCc
3.02,WCc
3.02,WCc
3.02,WCc
3.02,WCc
3.01,WCt
3.01,WCt
3.01,WCt
3,DC
3,DC
3,DC
3,DC
3,DC
3,DC
3,WCc
3,WCt
3,WCt
3,WCt
2.98,DC
2.98,DC
2.98,WCt
2.97,WCt
2.96,DC
2.96,WCc
2.96,WCc
2.96,WCc
2.96,WCc
2.96,WCc
2.96,WCc
2.96,WCc
2.96,WCc
2.95,DC
2.95,WCt
2.95,WCt
2.95,WCt
2.95,WCt
2.95,WCt
2.94,DC
2.94,WCt
2.93,DC
2.93,WCt
2.93,WCt
2.93,WCt
2.93,WCt
2.92,DC
2.92,DC
2.92,WCt
2.91,DC
2.91,WCt
2.9,DC
2.9,WCc
2.9,WCc
2.9,WCc
2.9,WCc
2.9,WCc
2.9,WCc
2.9,WCc
2.9,WCc
2.9,WCc
2.9,WCt
2.9,WCt
2.9,WCt
2.9,WCt
2.9,WCt
2.89,WCc
2.89,WCt
2.89,WCt
2.88,DC
2.88,WCt
2.88,WCt
2.87,WCt
2.86,WCt
2.86,WCt
2.85,DC
2.85,DC
2.85,WCc
2.84,DC
2.84,WCc
2.84,WCc
2.84,WCc
2.84,WCc
2.84,WCc
2.84,WCc
2.84,WCc
2.84,WCt
2.83,WCc
2.83,WCt
2.82,DC
2.82,WCt
2.81,WCt
2.81,WCt
2.81,WCt
2.8,DC
2.8,DC
2.8,DC
2.79,DC
2.79,WCt
2.79,WCt
2.79,WCt
2.78,WCc
2.78,WCc
2.78,WCc
2.78,WCc
2.78,WCc
2.78,WCc
2.78,WCc
2.78,WCt
2.78,WCt
2.78,WCt
2.77,DC
2.77,WCt
2.77,WCt
2.76,DC
2.76,DC
2.76,DC
2.75,WCt
2.74,DC
2.74,DC
2.74,DC
2.74,DC
2.74,WCt
2.73,DC
2.73,DC
2.73,WCc
2.73,WCc
2.73,WCc
2.73,WCc
2.73,WCc
2.72,DC
2.72,DC
2.71,DC
2.71,DC
2.71,WCc
2.71,WCt
2.7,DC
2.7,DC
2.7,DC
2.7,WCc
2.7,WCc
2.7,WCc
2.7,WCt
2.7,WCt
2.69,DC
2.69,WCt
2.69,WCt
2.69,WCt
2.69,WCt
2.68,DC
2.68,WCt
2.68,WCt
2.68,WCt
2.67,DC
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCc
2.67,WCt
2.66,DC
2.66,DC
2.66,DC
