val$id;obsDC;model;extrapolation;predict
33;2.68;Cubist;FALSE;2.527309895
35;4.21;Cubist;FALSE;4.751093388
43;3.96;Cubist;FALSE;4.035860538
44;3.87;Cubist;FALSE;3.204683304
45;2.52;Cubist;FALSE;2.620591402
52;0.4;Cubist;FALSE;4.003493309
54;5.51;Cubist;FALSE;5.164406776
56;6.68;Cubist;FALSE;6.027030468
58;3.32;Cubist;FALSE;3.851480007
64;3.36;Cubist;FALSE;4.413667679
65;0.5;Cubist;FALSE;2.378705978
69;5.03;Cubist;FALSE;4.25721693
84;3.05;Cubist;FALSE;2.713295221
85;2.91;Cubist;FALSE;2.829637051
87;2.6;Cubist;FALSE;2.011822939
88;3.59;Cubist;FALSE;2.97104907
94;2.7;Cubist;FALSE;4.588992119
95;2.16;Cubist;FALSE;1.765264869
105;3.42;Cubist;FALSE;3.25915122
110;12.53;Cubist;FALSE;8.382606506
111;3.07;Cubist;FALSE;3.182082415
112;7.34;Cubist;FALSE;6.441257954
115;3.4;Cubist;FALSE;3.213521481
122;6.69;Cubist;FALSE;7.247603893
123;2.6;Cubist;FALSE;2.806845427
124;3.38;Cubist;FALSE;4.426883698
125;3.13;Cubist;FALSE;3.019829512
126;2.57;Cubist;FALSE;2.617753029
128;2.45;Cubist;FALSE;2.629686117
129;11.16;Cubist;FALSE;8.917998314
131;5.7;Cubist;FALSE;6.420650482
132;3.18;Cubist;FALSE;3.212695599
134;2.98;Cubist;FALSE;2.914141178
146;5.47;Cubist;FALSE;5.172827244
149;5.47;Cubist;FALSE;4.881862164
152;4.24;Cubist;FALSE;4.583678246
155;7.56;Cubist;FALSE;6.714403152
168;3.62;Cubist;FALSE;3.28314662
170;3.32;Cubist;FALSE;5.085684776
171;5.35;Cubist;FALSE;4.330601215
173;4.2;Cubist;FALSE;3.641794443
175;4.28;Cubist;FALSE;4.036846161
180;4.03;Cubist;FALSE;4.10117197
181;5.14;Cubist;FALSE;4.10911274
182;4.1;Cubist;FALSE;3.837614298
187;3.13;Cubist;FALSE;3.315841436
188;3.78;Cubist;FALSE;3.085983038
190;4.04;Cubist;FALSE;3.311519623
193;3.67;Cubist;FALSE;4.721509933
198;2.07;Cubist;FALSE;2.76957202
199;2.98;Cubist;FALSE;4.257976532
205;5.05;Cubist;FALSE;4.867015839
212;5.3;Cubist;FALSE;4.859003067
213;4.09;Cubist;FALSE;4.671317577
214;6.29;Cubist;FALSE;4.713638306
221;1.85;Cubist;FALSE;2.62916851
223;4.23;Cubist;FALSE;4.034183502
224;3.04;Cubist;FALSE;3.32501936
225;1.3;Cubist;FALSE;3.45543313
226;4.72;Cubist;FALSE;5.074907303
227;2.57;Cubist;FALSE;3.076319695
229;3.22;Cubist;FALSE;3.392419338
232;1.72;Cubist;FALSE;2.686448574
235;3.02;Cubist;FALSE;3.295771122
241;1.93;Cubist;FALSE;2.18591404
247;1.92;Cubist;FALSE;2.2853477
253;6.5;Cubist;FALSE;2.91342783
254;3.43;Cubist;FALSE;3.109507084
267;2;Cubist;FALSE;3.327976465
281;4.54;Cubist;FALSE;4.093634605
285;2.74;Cubist;FALSE;3.091217518
290;2.7;Cubist;FALSE;3.69421339
294;4.85;Cubist;FALSE;4.704926014
297;4.19;Cubist;FALSE;5.56989193
301;1.7;Cubist;FALSE;3.423116207
305;2.9;Cubist;FALSE;4.529859543
306;3.91;Cubist;FALSE;4.57033062
309;3.25;Cubist;FALSE;3.488817692
310;2.96;Cubist;FALSE;3.002944708
311;5.35;Cubist;FALSE;5.195623398
312;5.81;Cubist;FALSE;4.137498856
320;6.6;Cubist;FALSE;4.748507023
322;4.78;Cubist;FALSE;4.860636234
325;3.21;Cubist;FALSE;2.993851662
326;3.61;Cubist;FALSE;3.00303483
329;3.45;Cubist;FALSE;2.997636557
332;3.55;Cubist;FALSE;2.871421099
333;3.82;Cubist;FALSE;3.419254541
334;2.45;Cubist;FALSE;4.863349438
338;5.19;Cubist;FALSE;3.579283476
344;2.58;Cubist;FALSE;4.62085104
346;4.02;Cubist;FALSE;2.643999815
349;2.37;Cubist;FALSE;3.059726715
353;2.5;Cubist;FALSE;4.734651566
357;2.24;Cubist;FALSE;2.663114309
358;3;Cubist;FALSE;3.391519547
359;2.76;Cubist;FALSE;2.917405605
361;2.92;Cubist;FALSE;2.678542376
365;3;Cubist;FALSE;2.671690941
367;3.85;Cubist;FALSE;4.407718182
370;2.43;Cubist;FALSE;3.252701998
371;5.08;Cubist;FALSE;2.888485432
